Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
DLTETH,ETH,3264.66,0.0,0.0
BCCUSDT,USDT,1.0,0.0,0.0
DLTBTC,BTC,105222.45,0.0,0.0
BCCBNB,BNB,680.04,0.0,0.0
BATBTC,BTC,105222.45,0.46420638,48844.93260923099
BATETH,ETH,3264.66,0.0,0.0
BATBNB,BNB,680.04,0.0,0.0
BCPTBTC,BTC,105222.45,0.0,0.0
BCPTETH,ETH,3264.66,0.0,0.0
BCPTBNB,BNB,680.04,0.0,0.0
ARNBTC,BTC,105222.45,0.0,0.0
ARNETH,ETH,3264.66,0.0,0.0
GVTBTC,BTC,105222.45,0.0,0.0
GVTETH,ETH,3264.66,0.0,0.0
CDTBTC,BTC,105222.45,0.0,0.0
CDTETH,ETH,3264.66,0.0,0.0
GXSBTC,BTC,105222.45,0.0,0.0
GXSETH,ETH,3264.66,0.0,0.0
NEOUSDT,USDT,1.0,5741953.5055,5741953.5055
NEOBNB,BNB,680.04,0.0,0.0
POEBTC,BTC,105222.45,0.0,0.0
POEETH,ETH,3264.66,0.0,0.0
QSPBTC,BTC,105222.45,0.0,0.0
QSPETH,ETH,3264.66,0.0,0.0
QSPBNB,BNB,680.04,0.0,0.0
BTSBTC,BTC,105222.45,0.0,0.0
BTSETH,ETH,3264.66,0.0,0.0
BTSBNB,BNB,680.04,0.0,0.0
XZCBTC,BTC,105222.45,0.0,0.0
XZCETH,ETH,3264.66,0.0,0.0
XZCBNB,BNB,680.04,0.0,0.0
LSKBTC,BTC,105222.45,0.05052774,5316.652595763
LSKETH,ETH,3264.66,0.0,0.0
LSKBNB,BNB,680.04,0.0,0.0
TNTBTC,BTC,105222.45,0.0,0.0
TNTETH,ETH,3264.66,0.0,0.0
FUELBTC,BTC,105222.45,0.0,0.0
FUELETH,ETH,3264.66,0.0,0.0
MANABTC,BTC,105222.45,1.76484734,185701.560990783
MANAETH,ETH,3264.66,3.7742411,12321.613949526
BCDBTC,BTC,105222.45,0.0,0.0
BCDETH,ETH,3264.66,0.0,0.0
DGDBTC,BTC,105222.45,0.0,0.0
DGDETH,ETH,3264.66,0.0,0.0
IOTABNB,BNB,680.04,0.0,0.0
ADXBTC,BTC,105222.45,1.01990836,107317.25641468201
ADXETH,ETH,3264.66,18.66000585,60918.574698261
ADXBNB,BNB,680.04,0.0,0.0
ADABTC,BTC,105222.45,20.04792141,2109491.4081676546
ADAETH,ETH,3264.66,250.21079939,816853.1883365574
PPTETH,ETH,3264.66,0.0,0.0
PPTBTC,BTC,105222.45,0.0,0.0
CMTBTC,BTC,105222.45,0.0,0.0
CMTETH,ETH,3264.66,0.0,0.0
XLMBTC,BTC,105222.45,25.2577709,2657684.535636705
XLMETH,ETH,3264.66,310.27842479,1012953.5622749212
XLMBNB,BNB,680.04,0.0,0.0
CNDBTC,BTC,105222.45,0.0,0.0
CNDETH,ETH,3264.66,0.0,0.0
CNDBNB,BNB,680.04,0.0,0.0
LENDBTC,BTC,105222.45,0.0,0.0
LENDETH,ETH,3264.66,0.0,0.0
WABIBTC,BTC,105222.45,0.0,0.0
WABIETH,ETH,3264.66,0.0,0.0
CMTBNB,BNB,680.04,0.0,0.0
WABIBNB,BNB,680.04,0.0,0.0
LTCETH,ETH,3264.66,615.94152123,2010839.646698732
LTCUSDT,USDT,1.0,262357381.97007,262357381.97007
LTCBNB,BNB,680.04,574.2365367,390503.814417468
TNBBTC,BTC,105222.45,0.0,0.0
TNBETH,ETH,3264.66,0.0,0.0
WAVESBTC,BTC,105222.45,0.0,0.0
WAVESETH,ETH,3264.66,0.0,0.0
WAVESBNB,BNB,680.04,0.0,0.0
GTOBTC,BTC,105222.45,0.0,0.0
GTOETH,ETH,3264.66,0.0,0.0
GTOBNB,BNB,680.04,0.0,0.0
ICXBTC,BTC,105222.45,0.07492415,7883.7026271674995
ICXETH,ETH,3264.66,0.0,0.0
OSTETH,ETH,3264.66,0.0,0.0
ELFETH,ETH,3264.66,1.1954797,3902.8347574019995
AIONBTC,BTC,105222.45,0.0,0.0
AIONETH,ETH,3264.66,0.0,0.0
AIONBNB,BNB,680.04,0.0,0.0
NEBLBTC,BTC,105222.45,0.0,0.0
OSTBNB,BNB,680.04,0.0,0.0
ELFBTC,BTC,105222.45,0.04859139,5112.9051047055
ICXBNB,BNB,680.04,0.0,0.0
OSTBTC,BTC,105222.45,0.0,0.0
BRDBTC,BTC,105222.45,0.0,0.0
BRDETH,ETH,3264.66,0.0,0.0
BRDBNB,BNB,680.04,0.0,0.0
MCOBNB,BNB,680.04,0.0,0.0
EDOBTC,BTC,105222.45,0.0,0.0
EDOETH,ETH,3264.66,0.0,0.0
WINGSBTC,BTC,105222.45,0.0,0.0
WINGSETH,ETH,3264.66,0.0,0.0
NAVBTC,BTC,105222.45,0.0,0.0
NAVETH,ETH,3264.66,0.0,0.0
NAVBNB,BNB,680.04,0.0,0.0
LUNBTC,BTC,105222.45,0.0,0.0
LUNETH,ETH,3264.66,0.0,0.0
TRIGBTC,BTC,105222.45,0.0,0.0
TRIGETH,ETH,3264.66,0.0,0.0
TRIGBNB,BNB,680.04,0.0,0.0
APPCBTC,BTC,105222.45,0.0,0.0
APPCETH,ETH,3264.66,0.0,0.0
APPCBNB,BNB,680.04,0.0,0.0
VIBEBTC,BTC,105222.45,0.0,0.0
VIBEETH,ETH,3264.66,0.0,0.0
NEBLBNB,BNB,680.04,0.0,0.0
RLCBTC,BTC,105222.45,0.76656972,80660.344034214
RLCETH,ETH,3264.66,10.76490831,35143.765563324596
RLCBNB,BNB,680.04,0.0,0.0
INSBTC,BTC,105222.45,0.0,0.0
INSETH,ETH,3264.66,0.0,0.0
PIVXBTC,BTC,105222.45,0.16923172,17806.976196114
PIVXBNB,BNB,680.04,0.0,0.0
IOSTBTC,BTC,105222.45,0.0,0.0
IOSTETH,ETH,3264.66,0.0,0.0
CHATBTC,BTC,105222.45,0.0,0.0
CHATETH,ETH,3264.66,0.0,0.0
STEEMBTC,BTC,105222.45,0.29114671,30635.170135639495
STEEMETH,ETH,3264.66,4.1617813,13586.800938858001
STEEMBNB,BNB,680.04,0.0,0.0
NANOBTC,BTC,105222.45,0.0,0.0
NANOETH,ETH,3264.66,0.0,0.0
VIABTC,BTC,105222.45,0.0,0.0
NANOBNB,BNB,680.04,0.0,0.0
VIAETH,ETH,3264.66,0.0,0.0
VIABNB,BNB,680.04,0.0,0.0
BLZBTC,BTC,105222.45,0.0,0.0
BLZETH,ETH,3264.66,0.0,0.0
BLZBNB,BNB,680.04,0.0,0.0
AEBTC,BTC,105222.45,0.0,0.0
AEETH,ETH,3264.66,0.0,0.0
AEBNB,BNB,680.04,0.0,0.0
RPXBTC,BTC,105222.45,0.0,0.0
RPXETH,ETH,3264.66,0.0,0.0
RPXBNB,BNB,680.04,0.0,0.0
NCASHBTC,BTC,105222.45,0.0,0.0
NCASHETH,ETH,3264.66,0.0,0.0
NCASHBNB,BNB,680.04,0.0,0.0
POABTC,BTC,105222.45,0.0,0.0
POAETH,ETH,3264.66,0.0,0.0
POABNB,BNB,680.04,0.0,0.0
ZILBTC,BTC,105222.45,1.53278971,161283.8886209895
ZILETH,ETH,3264.66,11.87273339,38760.4377889974
ZILBNB,BNB,680.04,0.0,0.0
ONTBTC,BTC,105222.45,0.14347101,15096.3711761745
ONTETH,ETH,3264.66,0.0,0.0
ONTBNB,BNB,680.04,0.0,0.0
STORMBTC,BTC,105222.45,0.0,0.0
STORMETH,ETH,3264.66,0.0,0.0
STORMBNB,BNB,680.04,0.0,0.0
QTUMBNB,BNB,680.04,0.0,0.0
QTUMUSDT,USDT,1.0,1142475.6833,1142475.6833
XEMBTC,BTC,105222.45,0.0,0.0
XEMETH,ETH,3264.66,0.0,0.0
XEMBNB,BNB,680.04,0.0,0.0
WANBTC,BTC,105222.45,0.05347473,5626.7421036885
WANETH,ETH,3264.66,0.0,0.0
WANBNB,BNB,680.04,0.0,0.0
WPRBTC,BTC,105222.45,0.0,0.0
WPRETH,ETH,3264.66,0.0,0.0
QLCBTC,BTC,105222.45,0.0,0.0
QLCETH,ETH,3264.66,0.0,0.0
SYSBTC,BTC,105222.45,0.21369055,22485.0432128475
SYSETH,ETH,3264.66,0.0,0.0
SYSBNB,BNB,680.04,0.0,0.0
QLCBNB,BNB,680.04,0.0,0.0
GRSBTC,BTC,105222.45,0.0,0.0
GRSETH,ETH,3264.66,0.0,0.0
ADAUSDT,USDT,1.0,95264332.66313,95264332.66313
ADABNB,BNB,680.04,123.6355054,84077.08909221599
CLOAKETH,ETH,3264.66,0.0,0.0
CLOAKBTC,BTC,105222.45,0.0,0.0
GNTBTC,BTC,105222.45,0.0,0.0
GNTETH,ETH,3264.66,0.0,0.0
GNTBNB,BNB,680.04,0.0,0.0
LOOMBTC,BTC,105222.45,0.0,0.0
LOOMETH,ETH,3264.66,0.0,0.0
LOOMBNB,BNB,680.04,0.0,0.0
XRPUSDT,USDT,1.0,554386410.3469,554386410.3469
BCNBTC,BTC,105222.45,0.0,0.0
BCNETH,ETH,3264.66,0.0,0.0
BCNBNB,BNB,680.04,0.0,0.0
REPBTC,BTC,105222.45,0.0,0.0
REPBNB,BNB,680.04,0.0,0.0
BTCTUSD,TUSD,0.9984,1060603.1495435,1058906.1845042305
TUSDBTC,BTC,105222.45,0.0,0.0
ETHTUSD,TUSD,0.9984,378999.429722,378393.03063444473
TUSDETH,ETH,3264.66,0.0,0.0
TUSDBNB,BNB,680.04,0.0,0.0
ZENBTC,BTC,105222.45,1.0489399,110372.02618075498
ZENETH,ETH,3264.66,0.0,0.0
ZENBNB,BNB,680.04,0.0,0.0
SKYBTC,BTC,105222.45,0.0,0.0
SKYETH,ETH,3264.66,0.0,0.0
SKYBNB,BNB,680.04,0.0,0.0
EOSUSDT,USDT,1.0,8258307.06706,8258307.06706
EOSBNB,BNB,680.04,0.0,0.0
CVCBTC,BTC,105222.45,0.0,0.0
CVCETH,ETH,3264.66,0.0,0.0
CVCBNB,BNB,680.04,0.0,0.0
THETABTC,BTC,105222.45,1.88451395,198293.1748781775
THETAETH,ETH,3264.66,0.0,0.0
THETABNB,BNB,680.04,0.0,0.0
TUSDUSDT,USDT,1.0,690082.0517,690082.0517
XRPBNB,BNB,680.04,497.4179266,338264.086805064
XLMUSDT,USDT,1.0,73391802.4203,73391802.4203
IOTAUSDT,USDT,1.0,8624778.6157,8624778.6157
IOTXBTC,BTC,105222.45,0.67608122,71138.92236738901
IOTXETH,ETH,3264.66,4.79880867,15666.478712602198
QKCBTC,BTC,105222.45,0.0,0.0
QKCETH,ETH,3264.66,0.0,0.0
AGIBTC,BTC,105222.45,0.0,0.0
AGIETH,ETH,3264.66,0.0,0.0
AGIBNB,BNB,680.04,0.0,0.0
NXSBTC,BTC,105222.45,0.0,0.0
NXSETH,ETH,3264.66,0.0,0.0
NXSBNB,BNB,680.04,0.0,0.0
ENJBNB,BNB,680.04,0.0,0.0
DATABTC,BTC,105222.45,0.12232997,12871.859151826498
DATAETH,ETH,3264.66,0.0,0.0
ONTUSDT,USDT,1.0,1462086.6627,1462086.6627
TRXBNB,BNB,680.04,104.7245303,71216.869585212
TRXUSDT,USDT,1.0,110551827.97303,110551827.97303
ETCUSDT,USDT,1.0,13139614.5289,13139614.5289
ETCBNB,BNB,680.04,13.1045305,8911.60492122
ICXUSDT,USDT,1.0,781925.09823,781925.09823
SCBTC,BTC,105222.45,0.0,0.0
SCETH,ETH,3264.66,3.09414357,10101.326747236199
NPXSBTC,BTC,105222.45,0.0,0.0
NPXSETH,ETH,3264.66,0.0,0.0
VENUSDT,USDT,1.0,0.0,0.0
KEYBTC,BTC,105222.45,0.0,0.0
KEYETH,ETH,3264.66,0.0,0.0
